Estado,bebida,tendência,p-valor,z,Tau,slope,intercept
ALAGOAS,Cerveja,increasing,0.04828610767668162,1.9748417658131499,0.6666666666666666,1.4000000000000004,26.25
AMAPA,Cerveja,,,,,,
AMAZONAS,Cerveja,no trend,1.0,0.0,-0.047619047619047616,-1018.8604299999992,37543.30629
AMAZONAS,Destilado,no trend,1.0,0.0,0.0,0.0,1920.0
BAHIA,Cerveja,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,26320.910574000016,431183.736578
BAHIA,Destilado,no trend,0.22955621387891956,1.2015028183722212,0.42857142857142855,376.211,351.0
BAHIA,Vinho,no trend,0.22955621387891956,1.2015028183722212,0.42857142857142855,197.33333333333334,3315.2624
CEARA,Cerveja,no trend,0.13312848419605983,1.5018785229652765,0.5238095238095238,11438.459307100002,104596.8220787
CEARA,Destilado,no trend,0.13312848419605983,-1.5018785229652765,-0.5238095238095238,-516560.6320000001,7509576.478
CEARA,Vinho,,,,,,
DISTRITO FEDERAL,Cerveja,no trend,0.2962698714842864,1.044465935734187,1.0,7.7441,0.918400000000001
ESPIRITO SANTO,Cerveja,no trend,0.5480055723613093,-0.6007514091861106,-0.23809523809523808,-154.50900266666676,1479.2026760000003
ESPIRITO SANTO,Destilado,no trend,0.07150541644487451,-1.8022542275583318,-0.6190476190476191,-301517.57283333334,1724459.4585
ESPIRITO SANTO,Vinho,no trend,1.0,0.0,-0.3333333333333333,-3.597200000000001,20.875600000000002
GOIAS,Cerveja,no trend,0.22955621387891956,1.2015028183722212,0.42857142857142855,3176.7540000000004,751.3729999999996
GOIAS,Destilado,no trend,0.7037713143937077,0.3802345503146867,0.14285714285714285,0.0,0.0
GOIAS,Vinho,,,,,,
MARANHAO,Cerveja,no trend,0.22955621387891956,-1.2015028183722212,-0.42857142857142855,-4520.9497165,56773.8141495
MARANHAO,Destilado,no trend,1.0,0.0,0.0,0.0,0.0
MATO GROSSO,Cerveja,increasing,0.016260936780450264,2.4030056367444423,0.8095238095238095,4368.645749999996,61285.516250000015
MATO GROSSO,Destilado,no trend,1.0,0.0,0.0,0.0,0.0
MINAS GERAIS,Cerveja,increasing,0.016260936780450264,2.4030056367444423,0.8095238095238095,81893.58237025002,350054.11600775004
MINAS GERAIS,Destilado,no trend,0.36752073824214304,0.9011271137791659,0.3333333333333333,270202.9049699999,5508176.209840001
MINAS GERAIS,Vinho,no trend,0.2962698714842864,1.044465935734187,1.0,34.354400000000005,73.72800000000001
PARA,Cerveja,decreasing,0.016260936780450264,-2.4030056367444423,-0.8095238095238095,-5354.638333333333,57440.880000000005
PARA,Destilado,no trend,0.7638905934705396,-0.3003757045930553,-0.14285714285714285,-9449.245440000028,332913.60000000003
PARA,Vinho,no trend,0.7071142312899612,0.3757345746510897,0.2,3.7261119999999814,1001.323792
PARAIBA,Cerveja,no trend,1.0,0.0,0.0,0.0,0.0
PARAIBA,Destilado,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,88280.37940000006,3108864.8417999996
PARAIBA,Vinho,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-958.7556000000001,10157.8668
PARANA,Cerveja,no trend,0.5480055723613093,0.6007514091861106,0.23809523809523808,25115.63726175003,179153.19004624992
PARANA,Destilado,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-3174.225199999998,76588.77960000001
PARANA,Vinho,no trend,0.3388878258536683,0.9563650695950074,0.4,425.51872000000037,28.401495999999042
PERNAMBUCO,Cerveja,no trend,0.07150541644487451,1.8022542275583318,0.6190476190476191,27520.288366666664,165747.49590000004
PERNAMBUCO,Destilado,no trend,0.13312848419605983,1.5018785229652765,0.5238095238095238,992798.8454999998,3741826.4745000005
PERNAMBUCO,Vinho,no trend,1.0,0.0,1.0,300.8,0.0
PIAUI,Cerveja,no trend,0.6485821935696237,-0.45573271518764996,-0.19047619047619047,-2135.84,38919.965000000004
PIAUI,Destilado,no trend,0.5480055723613093,0.6007514091861106,0.23809523809523808,19010.640000000003,243152.73
RIO DE JANEIRO,Cerveja,no trend,0.13312848419605983,-1.5018785229652765,-0.5238095238095238,-31329.188267999987,734697.182744
RIO DE JANEIRO,Destilado,increasing,0.035498131320662596,2.102629932151387,0.7142857142857143,139112.92369500003,1134863.944915
RIO DE JANEIRO,Vinho,decreasing,0.016260936780450264,-2.4030056367444423,-0.8095238095238095,-4413.326800000001,46258.87992
RIO GRANDE DO NORTE,Destilado,,,,,,
RIO GRANDE DO SUL,Cerveja,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,4568.419500749995,229604.58089275003
RIO GRANDE DO SUL,Destilado,no trend,1.0,0.0,0.047619047619047616,139633.10212666666,757920.5228200001
RIO GRANDE DO SUL,Vinho,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,2767.250503999996,228350.078626
SANTA CATARINA,Cerveja,decreasing,0.035498131320662596,-2.102629932151387,-0.7142857142857143,-2453.0995719999773,136482.11292799993
SANTA CATARINA,Destilado,increasing,0.016260936780450264,2.4030056367444423,0.8095238095238095,71626.122,55444.67399999997
SANTA CATARINA,Vinho,decreasing,0.035498131320662596,-2.102629932151387,-0.7142857142857143,-2343.645558,18179.310066000002
SAO PAULO,Cerveja,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-117321.72899650008,1435431.2238490004
SAO PAULO,Destilado,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-691473538.2886403,2158866238.4706006
SAO PAULO,Vinho,no trend,0.07150541644487451,-1.8022542275583318,-0.6190476190476191,-6108.6414632000005,37772.6423336
SERGIPE,Cerveja,increasing,0.009809151645794323,2.58248538606335,0.8571428571428571,11841.131400000006,54423.55799999998
SERGIPE,Destilado,no trend,0.3081795474670539,-1.0190493307301363,-0.6666666666666666,-16878.8675,63943.301250000004
